ticker,datetime,direction,entry,exit,stop,target,pnl,pnl_pct,exit_reason,bars_held,volume_ratio,breakeven_triggered
NVDA,2026-02-20 16:34:00,short,189.46,189.69898214285715,189.69898214285715,189.17322142857145,-0.23898214285713948,-0.12613857429385594,stop,7,6.851360289254377,False
NVDA,2026-02-20 17:33:00,long,189.85,187.50717857142857,187.50717857142857,192.6613857142857,-2.342821428571426,-1.2340381504195028,stop,1,5.871601140116726,False
NVDA,2026-02-20 18:32:00,short,189.89,189.89,189.99714285714285,189.76142857142855,0.0,0.0,stop_breakeven,25,5.60204991087344,True
NVDA,2026-02-20 19:43:00,long,189.96,189.96,189.89923214285716,190.03292142857143,0.0,0.0,stop_breakeven,12,3.3082129314069024,True
NVDA,2026-02-23 04:25:00,long,189.99,189.99,189.67214285714286,190.37142857142857,0.0,0.0,stop_breakeven,1,4.209017251655095,True
NVDA,2026-02-23 04:26:00,long,190.2,190.2,189.85892857142858,190.6092857142857,0.0,0.0,stop_breakeven,28,4.126719410830787,True
NVDA,2026-02-23 05:26:00,short,189.81,190.06,190.06,189.51000000000002,-0.25,-0.1317106580264475,stop,5,9.329288086498364,False
NVDA,2026-02-23 05:47:00,short,189.54,189.54,189.81142857142856,189.2142857142857,0.0,0.0,stop_breakeven,1,3.1510390211416253,True
NVDA,2026-02-23 06:37:00,short,189.68,189.43785714285718,189.8817857142857,189.43785714285718,0.2421428571428237,0.1276586130023322,target,10,3.0961710967376423,True
NVDA,2026-02-23 06:38:00,short,189.65,189.65,189.84464285714284,189.4164285714286,0.0,0.0,stop_breakeven,3,3.7173305742369376,True
NVDA,2026-02-23 06:47:00,short,189.42,189.42,189.68249999999998,189.105,0.0,0.0,stop_breakeven,5,3.7232637229826584,True
NVDA,2026-02-23 06:49:00,short,189.31,189.31,189.59035714285716,188.97357142857143,0.0,0.0,stop_breakeven,11,3.306688252554892,True
NVDA,2026-02-23 07:06:00,long,189.59,189.18821428571428,189.18821428571428,190.07214285714286,-0.4017857142857224,-0.2119234739626153,stop,12,3.0238207673470976,False
NVDA,2026-02-23 07:37:00,long,189.64,189.64,189.3535714285714,189.98371428571429,0.0,0.0,stop_breakeven,3,3.285741593024453,True
NVDA,2026-02-23 15:59:00,long,191.64,191.02557142857142,191.02557142857142,192.37731428571428,-0.6144285714285616,-0.3206160360199132,stop,15,4.063340541799896,False
