orb_minutes,atr_multiplier,volume_pct,fvg_min_pct,profit_r,trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,sharpe,max_drawdown
5,1.5,1.0,0.003,2.5,121,0.3802,3056.49,-1254.16,1.495,46536.47,3.99,-0.1103
5,1.5,1.0,0.005,2.5,121,0.3802,3056.49,-1254.16,1.495,46536.47,3.99,-0.1103
20,1.0,1.25,0.001,1.5,149,0.4765,1701.5,-1146.13,1.351,31407.75,3.989,-0.0956
10,3.0,1.25,0.001,2.5,75,0.4,2994.11,-1253.04,1.593,33436.68,3.98,-0.0772
5,1.0,1.5,0.003,1.5,130,0.4846,1791.7,-1232.88,1.366,30274.0,3.979,-0.0779
15,1.0,1.5,0.001,2.5,110,0.3818,3134.14,-1311.92,1.476,42423.56,3.965,-0.1144
10,1.0,1.0,0.002,1.5,212,0.4717,1800.82,-1217.01,1.321,43776.97,3.962,-0.1195
20,1.0,1.5,0.003,1.5,117,0.4872,1726.13,-1175.96,1.394,27832.06,3.96,-0.0772
20,1.5,1.5,0.001,3.0,83,0.3614,3664.81,-1272.85,1.63,42483.25,3.948,-0.1404
10,1.0,1.75,0.005,3.0,89,0.3596,3684.27,-1275.33,1.622,45202.92,3.948,-0.1323
15,1.5,1.5,0.003,2.5,88,0.3977,3024.49,-1255.83,1.59,39298.11,3.944,-0.1359
15,1.5,1.5,0.005,2.5,88,0.3977,3024.49,-1255.83,1.59,39298.11,3.944,-0.1359
10,2.5,1.0,0.001,1.5,96,0.5104,1763.44,-1214.33,1.514,29334.95,3.944,-0.1093
10,2.5,1.0,0.002,1.5,96,0.5104,1763.44,-1214.33,1.514,29334.95,3.944,-0.1093
10,2.5,1.0,0.003,1.5,96,0.5104,1763.44,-1214.33,1.514,29334.95,3.944,-0.1093
10,2.5,1.0,0.005,1.5,96,0.5104,1763.44,-1214.33,1.514,29334.95,3.944,-0.1093
10,1.0,1.5,0.001,3.0,112,0.3482,3980.8,-1413.67,1.504,52053.65,3.933,-0.1414
5,2.5,1.5,0.003,2.0,73,0.4521,2306.03,-1188.03,1.601,28577.85,3.925,-0.0961
5,2.5,1.5,0.005,2.0,73,0.4521,2306.03,-1188.03,1.601,28577.85,3.925,-0.0961
20,3.0,1.25,0.003,1.5,73,0.5205,1711.06,-1176.0,1.58,23860.3,3.924,-0.0686
20,3.0,1.25,0.005,1.5,73,0.5205,1711.06,-1176.0,1.58,23860.3,3.924,-0.0686
20,1.0,1.75,0.005,3.0,82,0.3537,3540.01,-1213.69,1.596,38334.61,3.921,-0.1057
20,1.0,1.5,0.002,1.5,119,0.4874,1732.62,-1180.99,1.395,28451.82,3.915,-0.0772
5,1.0,1.75,0.003,3.0,93,0.3548,3715.42,-1291.54,1.582,45116.38,3.911,-0.1409
5,1.0,1.0,0.005,2.5,176,0.3693,3292.2,-1359.28,1.418,63113.12,3.91,-0.1327
20,1.5,1.5,0.002,3.0,81,0.358,3602.54,-1245.24,1.613,39720.91,3.907,-0.1317
10,3.0,1.25,0.002,2.0,75,0.4533,2381.48,-1246.61,1.584,29858.96,3.907,-0.078
5,1.0,1.5,0.002,3.0,108,0.3519,3977.41,-1414.16,1.527,52150.64,3.907,-0.1674
5,1.0,1.75,0.001,3.0,103,0.3495,3819.8,-1339.06,1.533,47796.14,3.906,-0.1152
20,3.0,1.75,0.001,3.0,65,0.3692,3564.09,-1241.67,1.68,34629.73,3.905,-0.069
15,1.0,1.0,0.002,2.0,176,0.4091,2427.37,-1235.26,1.36,46302.79,3.9,-0.1238
10,1.5,1.5,0.005,3.0,84,0.3571,3656.18,-1271.04,1.598,41049.55,3.898,-0.1404
15,1.5,1.5,0.001,3.0,86,0.3605,3717.98,-1298.59,1.614,43834.96,3.892,-0.149
15,1.0,1.25,0.005,1.5,156,0.4744,1681.8,-1127.67,1.346,31984.19,3.887,-0.0956
10,3.0,1.0,0.001,3.0,78,0.3718,3865.65,-1389.57,1.646,44015.03,3.885,-0.088
10,3.0,1.0,0.002,3.0,78,0.3718,3865.65,-1389.57,1.646,44015.03,3.885,-0.088
10,3.0,1.0,0.003,3.0,78,0.3718,3865.65,-1389.57,1.646,44015.03,3.885,-0.088
10,3.0,1.0,0.005,3.0,78,0.3718,3865.65,-1389.57,1.646,44015.03,3.885,-0.088
20,1.0,1.0,0.003,1.5,176,0.4716,1729.71,-1166.17,1.324,35112.75,3.882,-0.1228
20,1.0,1.0,0.001,1.5,176,0.4716,1724.92,-1161.88,1.325,35113.4,3.881,-0.1228
5,1.5,1.5,0.002,3.0,88,0.3523,3683.96,-1284.73,1.56,40973.0,3.874,-0.1404
5,1.0,1.25,0.002,2.0,157,0.414,2403.51,-1223.27,1.388,43686.87,3.865,-0.0881
5,2.5,1.5,0.003,2.5,72,0.3889,2842.53,-1165.58,1.552,28305.12,3.862,-0.0872
5,2.5,1.5,0.005,2.5,72,0.3889,2842.53,-1165.58,1.552,28305.12,3.862,-0.0872
10,1.0,1.5,0.002,3.0,106,0.3491,3912.29,-1384.69,1.515,49211.11,3.862,-0.1664
5,1.0,1.5,0.001,2.5,115,0.3826,3223.12,-1361.07,1.468,45181.14,3.857,-0.1288
20,1.0,1.25,0.003,1.5,148,0.473,1691.65,-1140.46,1.331,29459.93,3.836,-0.0956
5,1.5,1.5,0.001,2.5,97,0.3918,3098.82,-1296.94,1.539,41235.88,3.832,-0.1272
5,1.5,1.0,0.001,2.5,122,0.377,3041.57,-1247.91,1.475,45070.65,3.824,-0.1103
5,1.5,1.0,0.002,2.5,122,0.377,3041.57,-1247.91,1.475,45070.65,3.824,-0.1103
5,1.5,1.5,0.005,2.5,92,0.3913,3048.78,-1271.64,1.541,38544.36,3.82,-0.1446
5,1.0,1.25,0.005,1.5,173,0.474,1774.66,-1205.48,1.327,35824.06,3.814,-0.0912
20,1.0,1.25,0.002,1.5,150,0.4733,1696.75,-1144.02,1.333,30091.6,3.807,-0.0956
5,1.5,1.5,0.001,3.0,92,0.3587,3802.21,-1337.17,1.59,46579.92,3.803,-0.149
10,1.5,1.5,0.003,3.0,85,0.3529,3640.15,-1264.69,1.57,39646.48,3.795,-0.1404
5,1.0,1.0,0.003,2.5,177,0.3672,3283.93,-1356.88,1.405,61484.22,3.794,-0.1414
5,1.0,1.0,0.001,2.5,177,0.3672,3275.69,-1352.12,1.406,61482.39,3.787,-0.1327
15,1.5,1.5,0.002,2.5,89,0.3933,3013.02,-1250.87,1.561,37908.71,3.785,-0.1359
20,1.0,1.75,0.003,3.0,83,0.3494,3529.49,-1211.16,1.565,36952.68,3.784,-0.1146
20,1.5,1.75,0.001,2.5,80,0.4,2977.06,-1234.11,1.608,36028.66,3.781,-0.1005
20,1.5,1.5,0.003,2.5,85,0.3882,2942.25,-1214.67,1.537,33931.7,3.772,-0.1359
20,1.5,1.5,0.005,2.5,85,0.3882,2942.25,-1214.67,1.537,33931.7,3.772,-0.1359
5,1.0,1.75,0.002,3.0,94,0.3511,3699.11,-1285.35,1.557,43664.07,3.77,-0.1409
5,2.0,1.5,0.002,3.0,79,0.3418,3479.39,-1196.91,1.509,31703.94,3.744,-0.0783
