datetime,open,high,low,close,volume
2026-02-25 16:25:00,196.14,196.5,195.65,196.4,359074
2026-02-25 16:30:00,196.35,202.3,192.98,202.18,8304508
2026-02-25 16:35:00,202.3,203.49,201.01,203.02,5486057
2026-02-25 16:40:00,203.07,203.2,201.31,201.55,2580459
2026-02-25 16:45:00,201.55,201.76,199.35,200.41,3124717
2026-02-25 16:50:00,200.37,201.32,195.56,201.12,3038202
2026-02-25 16:55:00,201.12,201.61,200.74,201.07,1209425
2026-02-25 17:00:00,201.1,211.8353,190.8448,200.6667,1357581
2026-02-25 17:05:00,200.55,211.8353,199.49,200.08,1165318
2026-02-25 17:10:00,200.08,200.2,198.51,198.69,1292616
2026-02-25 17:15:00,198.6,206.7285,197.45,198.24,1631325
2026-02-25 17:20:00,198.22,201.5856,198.0,198.121,1103629
2026-02-25 17:25:00,198.1252,198.35,196.0,196.5886,1386262
2026-02-25 17:30:00,196.5895,197.44,195.63,197.1,1225108
2026-02-25 17:35:00,197.1,197.49,196.2,196.55,718702
2026-02-25 17:40:00,196.4901,197.4,196.25,197.19,623952
2026-02-25 17:45:00,197.31,198.0,197.0,197.78,641699
2026-02-25 17:50:00,197.79,197.87,183.9894,197.32,402938
2026-02-25 17:55:00,197.34,197.5,196.64,197.46,482252
2026-02-25 18:00:00,197.46,197.92,196.8,197.16,404023
2026-02-25 18:05:00,197.175,197.68,196.63,197.37,357038
2026-02-25 18:10:00,197.39,197.4,195.56,196.61,314295
2026-02-25 18:15:00,196.61,196.95,196.46,196.77,289695
2026-02-25 18:20:00,196.759,196.99,196.03,196.06,364486
2026-02-25 18:25:00,196.0838,196.24,195.55,195.5893,417710
2026-02-25 18:30:00,195.56,196.1,194.43,194.6257,730046
2026-02-25 18:35:00,194.69,194.74,193.13,193.5659,740295
2026-02-25 18:40:00,193.58,193.699,192.7,193.67,686812
2026-02-25 18:45:00,193.7,196.1,193.65,195.594,927660
2026-02-25 18:50:00,195.5938,195.86,195.17,195.85,385254
2026-02-25 18:55:00,195.762,196.56,195.54,196.0489,451560
2026-02-25 19:00:00,196.0,196.25,195.61,195.79,233958
2026-02-25 19:05:00,195.62,195.79,195.01,195.1509,208360
2026-02-25 19:10:00,195.209,195.44,195.0,195.05,171462
2026-02-25 19:15:00,195.1,195.2,194.07,194.79,284207
2026-02-25 19:20:00,194.78,195.47,194.63,195.165,190324
2026-02-25 19:25:00,195.15,195.5,194.92,195.36,157700
2026-02-25 19:30:00,195.37,195.49,195.18,195.2801,93802
2026-02-25 19:35:00,195.339,195.88,195.06,195.06,173521
2026-02-25 19:40:00,195.13,195.27,195.0,195.185,99943
2026-02-25 19:45:00,195.18,195.4988,195.1,195.4,140751
2026-02-25 19:50:00,195.36,195.81,195.1,195.5501,219849
2026-02-25 19:55:00,195.5507,196.0,195.35,195.95,270700
2026-02-25 20:00:00,195.9397,195.9449,195.9324,195.9324,240
2026-02-26 04:00:00,197.6,198.34,196.83,197.4,95110
2026-02-26 04:05:00,197.36,197.9,197.3,197.84,82105
2026-02-26 04:10:00,197.82,198.36,197.67,198.3,77054
2026-02-26 04:15:00,198.3,198.44,197.69,197.86,83728
2026-02-26 04:20:00,197.85,198.2,197.84,197.87,44196
2026-02-26 04:25:00,197.88,198.65,197.88,198.65,70691
2026-02-26 04:30:00,198.62,198.65,198.3,198.33,52321
2026-02-26 04:35:00,198.34,198.45,198.31,198.36,44929
2026-02-26 04:40:00,198.35,198.41,198.16,198.18,35646
2026-02-26 04:45:00,198.19,198.75,198.18,198.68,85539
2026-02-26 04:50:00,198.67,198.94,198.6,198.73,68079
2026-02-26 04:55:00,198.71,198.99,198.59,198.84,81152
2026-02-26 05:00:00,198.84,198.91,198.64,198.79,34671
2026-02-26 05:05:00,198.78,198.8,198.61,198.62,29333
2026-02-26 05:10:00,198.63,198.78,198.59,198.72,49306
2026-02-26 05:15:00,198.74,198.77,198.36,198.4,51605
2026-02-26 05:20:00,198.41,198.49,197.9,197.97,138548
2026-02-26 05:25:00,197.95,198.09,197.74,197.75,44977
2026-02-26 05:30:00,197.75,197.89,197.52,197.69,54788
2026-02-26 05:35:00,197.69,197.75,196.5,196.99,171901
2026-02-26 05:40:00,196.99,197.42,196.93,197.35,44613
2026-02-26 05:45:00,197.33,197.33,196.81,196.95,35578
2026-02-26 05:50:00,196.95,196.99,196.66,196.93,30957
2026-02-26 05:55:00,196.92,197.2,196.76,197.17,34220
2026-02-26 06:00:00,197.2,197.36,197.0,197.26,33995
2026-02-26 06:05:00,197.22,197.37,197.18,197.21,19613
2026-02-26 06:10:00,197.2,197.22,196.37,196.97,96467
2026-02-26 06:15:00,196.94,196.95,196.5,196.79,49615
2026-02-26 06:20:00,196.79,196.9,196.64,196.83,23476
2026-02-26 06:25:00,196.81,197.25,196.81,197.14,42210
2026-02-26 06:30:00,197.15,197.29,197.04,197.24,22770
2026-02-26 06:35:00,197.23,197.71,197.18,197.57,57013
2026-02-26 06:40:00,197.53,197.54,197.12,197.15,45913
2026-02-26 06:45:00,197.19,197.35,197.03,197.32,55043
2026-02-26 06:50:00,197.32,197.74,197.18,197.63,76684
2026-02-26 06:55:00,197.57,198.25,197.55,197.72,166264
2026-02-26 07:00:00,197.69,198.0,197.35,197.89,189707
2026-02-26 07:05:00,197.9,198.0,197.82,197.9,100779
2026-02-26 07:10:00,197.92,198.0,197.5,197.77,87208
2026-02-26 07:15:00,197.77,198.03,197.73,197.86,85065
2026-02-26 07:20:00,197.86,198.01,197.6,197.9,79875
2026-02-26 07:25:00,197.91,198.5,197.73,198.33,167272
2026-02-26 07:30:00,198.36,198.75,198.35,198.6,137836
2026-02-26 07:35:00,198.59,198.62,198.0,198.27,124795
2026-02-26 07:40:00,198.24,198.46,198.07,198.12,82035
2026-02-26 07:45:00,198.12,198.12,197.38,197.66,180826
2026-02-26 07:50:00,197.66,197.78,197.24,197.57,97643
2026-02-26 07:55:00,197.57,197.78,197.4,197.68,66721
2026-02-26 08:00:00,197.95,198.99,195.4012,197.13,2717144
2026-02-26 08:05:00,197.1263,197.59,195.56,196.95,199094
2026-02-26 08:10:00,196.95,197.48,195.56,197.36,166647
2026-02-26 08:15:00,197.375,197.64,195.56,197.5963,191653
2026-02-26 08:20:00,197.59,197.99,197.01,197.47,345157
2026-02-26 08:25:00,197.41,197.54,197.21,197.39,120804
2026-02-26 08:30:00,197.39,197.47,196.91,196.99,250907
2026-02-26 08:35:00,196.99,197.35,196.83,197.28,241787
2026-02-26 08:40:00,197.27,197.3,197.0899,197.0899,135133
2026-02-26 08:45:00,197.09,198.26,197.07,198.0,442800
2026-02-26 08:50:00,198.0,198.0,197.23,197.47,192774
2026-02-26 08:55:00,197.48,197.49,197.1,197.2724,185118
2026-02-26 09:00:00,197.27,197.52,197.1,197.14,316222
2026-02-26 09:05:00,197.15,197.1928,196.58,196.69,371939
2026-02-26 09:10:00,196.7,196.75,196.39,196.61,396117
2026-02-26 09:15:00,196.61,196.76,196.4,196.7,237945
2026-02-26 09:20:00,196.68,196.7,195.66,195.78,577613
2026-02-26 09:25:00,195.78,195.78,193.97,194.3,1470754
2026-02-26 09:30:00,194.27,194.29,190.95,191.01,16010274
2026-02-26 09:35:00,191.01,191.4,189.41,191.37,14810469
2026-02-26 09:40:00,191.38,191.71,189.59,189.985,10637154
2026-02-26 09:45:00,189.99,190.01,188.28,188.98,10860224
2026-02-26 09:50:00,188.981,189.87,188.3999,189.305,8637300
2026-02-26 09:55:00,189.285,190.0,189.01,189.39,6800518
2026-02-26 10:00:00,189.39,189.71,187.95,188.5701,7871182
2026-02-26 10:05:00,188.585,189.02,188.25,188.545,5846702
2026-02-26 10:10:00,188.55,188.78,186.86,186.89,8317004
2026-02-26 10:15:00,186.89,187.12,185.9,186.4099,8065385
2026-02-26 10:20:00,186.4,186.76,185.58,185.7201,7409883
2026-02-26 10:25:00,185.73,186.8,185.715,186.095,7150174
2026-02-26 10:30:00,186.1,186.2598,184.58,184.755,9135971
2026-02-26 10:35:00,184.76,186.4,184.73,186.39,6032428
2026-02-26 10:40:00,186.39,186.8,186.1501,186.705,6368782
2026-02-26 10:45:00,186.71,186.86,185.85,186.39,5399691
2026-02-26 10:50:00,186.39,186.555,185.89,186.39,3831684
2026-02-26 10:55:00,186.38,186.65,186.06,186.329,4034536
2026-02-26 11:00:00,186.33,187.17,186.24,187.15,5130621
2026-02-26 11:05:00,187.14,187.47,186.93,187.15,4684505
