ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
QQQ,2026-01-05 12:00:00,MIDDAY (10:30-15:00),BUY,617.81,617.67,0.14,0.1,6.13,100,REVERSAL,1.14,0.57,617.97,0,0,0,False
QQQ,2026-01-05 12:06:00,MIDDAY (10:30-15:00),BUY,617.73,617.51,0.22,0.14,3.49,100,STOP_OUT,0.36,-1.0,617.81,0,0,0,True
QQQ,2026-01-05 12:33:00,MIDDAY (10:30-15:00),BUY,617.46,617.29,0.17,0.11,2.06,95,REVERSAL,0.53,0.26,617.55,0,0,0,False
QQQ,2026-01-05 12:44:00,MIDDAY (10:30-15:00),BUY,617.12,616.91,0.21,0.14,2.2,90,REVERSAL,0.52,0.26,617.23,3,3,3,False
QQQ,2026-01-05 13:01:00,MIDDAY (10:30-15:00),BUY,617.36,616.4,0.96,0.64,5.7,100,STOP_OUT,0.0,-1.0,617.36,0,0,0,True
QQQ,2026-01-05 13:26:00,MIDDAY (10:30-15:00),BUY,616.82,615.79,1.03,0.69,3.2,100,REVERSAL,0.57,0.29,617.41,8,8,10,False
QQQ,2026-01-05 13:29:00,MIDDAY (10:30-15:00),BUY,616.8,616.23,0.57,0.38,2.03,95,REVERSAL,0.74,0.37,617.22,1,1,1,False
QQQ,2026-01-05 13:49:00,MIDDAY (10:30-15:00),BUY,617.44,616.77,0.67,0.45,3.83,100,REVERSAL,0.52,0.26,617.79,6,6,6,False
QQQ,2026-01-05 13:57:00,MIDDAY (10:30-15:00),BUY,617.93,617.24,0.69,0.46,3.37,100,REVERSAL,1.09,0.55,618.68,6,6,7,False
QQQ,2026-01-05 14:00:00,MIDDAY (10:30-15:00),BUY,618.0,617.3,0.7,0.47,2.79,100,REVERSAL,0.59,0.29,618.41,2,2,2,False
QQQ,2026-01-05 14:29:00,MIDDAY (10:30-15:00),BUY,619.3,618.98,0.32,0.21,6.08,100,STOP_OUT,0.0,-1.0,619.3,0,0,0,True
QQQ,2026-01-05 14:30:00,MIDDAY (10:30-15:00),BUY,619.59,619.16,0.43,0.29,38.5,100,STOP_OUT,0.0,-1.0,619.59,0,0,0,True
QQQ,2026-01-05 15:28:00,CLOSE (15:00-16:00),BUY,620.05,619.42,0.63,0.42,3.1,100,REVERSAL,0.54,0.27,620.39,4,4,4,False
QQQ,2026-01-06 09:54:00,MORNING (9:45-10:30),BUY,618.23,618.05,0.18,0.12,44.82,100,REVERSAL,0.61,0.31,618.34,0,0,0,False
QQQ,2026-01-06 10:14:00,MORNING (9:45-10:30),BUY,617.92,617.77,0.15,0.1,4.31,100,STOP_OUT,0.13,-1.0,617.94,0,0,0,True
