params,trades,wins,loss,wr,pf,pnl,avg_win,avg_loss
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",139,36,103,25.899280575539567,0.8897683884666766,-3.3756750000004274,0.7568833333333179,-0.2973152912621347
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1949,468,1481,24.01231400718317,0.712988850791377,-132.70813214285764,0.7044264499389471,-0.3122077722581261
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",190,48,142,25.263157894736842,0.7222923170669254,-27.07444999999997,1.4670452380952372,-0.6865677565392349
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",139,36,103,25.899280575539567,0.8897683884666766,-3.3756750000004274,0.7568833333333179,-0.2973152912621347
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1949,468,1481,24.01231400718317,0.712988850791377,-132.70813214285764,0.7044264499389471,-0.3122077722581261
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",190,48,142,25.263157894736842,0.7222923170669254,-27.07444999999997,1.4670452380952372,-0.6865677565392349
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",139,36,103,25.899280575539567,0.8897683884666766,-3.3756750000004274,0.7568833333333179,-0.2973152912621347
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1827,444,1383,24.302134646962234,0.7452157509980457,-108.42854285714259,0.7142826496138972,-0.30771514048135423
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",184,47,137,25.543478260869566,0.759509214170134,-22.48733571428577,1.5110357902735538,-0.6825256777893635
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",133,34,99,25.563909774436087,0.8385148972445321,-4.790610714286082,0.7316279411764561,-0.2996561688311676
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1827,444,1383,24.302134646962234,0.7452157509980457,-108.42854285714259,0.7142826496138972,-0.30771514048135423
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",184,47,137,25.543478260869566,0.759509214170134,-22.48733571428577,1.5110357902735538,-0.6825256777893635
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",133,34,99,25.563909774436087,0.8385148972445321,-4.790610714286082,0.7316279411764561,-0.2996561688311676
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1827,444,1383,24.302134646962234,0.7452157509980457,-108.42854285714259,0.7142826496138972,-0.30771514048135423
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",184,47,137,25.543478260869566,0.759509214170134,-22.48733571428577,1.5110357902735538,-0.6825256777893635
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",133,34,99,25.563909774436087,0.8385148972445321,-4.790610714286082,0.7316279411764561,-0.2996561688311676
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1827,444,1383,24.302134646962234,0.7452157509980457,-108.42854285714259,0.7142826496138972,-0.30771514048135423
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",184,47,137,25.543478260869566,0.759509214170134,-22.48733571428577,1.5110357902735538,-0.6825256777893635
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",133,34,99,25.563909774436087,0.8385148972445321,-4.790610714286082,0.7316279411764561,-0.2996561688311676
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1705,414,1291,24.281524926686217,0.7533700157150588,-98.7861392857142,0.7288835144927511,-0.31025864778134254
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",175,45,130,25.71428571428571,0.7665446387262916,-20.78046785714294,1.516269523809521,-0.6847122802197799
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",128,32,96,25.0,0.8448139219639498,-4.518360714286089,0.7686687499999845,-0.30328917410714157
